First_Name,Last_Name,Phone_number,SSN,street_address,city,state,zip,country
ANA,SACHER,1085551212,666645787,3870 BUTLER SPRINGS DR,LOGANVILLE,GA,35811,USA 
TOCARRA,PERDUE,4802046897,618509704,1985 SAN LUIS ST APT 118,LOS BANOS,CA,92346,USA
BETTY,BEAN,1061234505,574323952,4301 N HAMLIN AVE,BRONX,NY,10472,USA
CREAMY,BUTTERCUP,1061234508,526974860,1657 187TH ST,ATLANTA,GA,96205,USA
KIKI,RAMOS,2252742351,489809813,91711TH AVE N,FARGO,ND,54911,USA
ERMA,STURGELL,3528716487,666012645,2631 NW 104TH CT,GAINESVILLE,FL,32606,USA
ALICE,BAY,1061234504,389807460,539 W EGGERDING DR,SAINT PETERSBURG,FL,76126,USA
THOMAS,DUNN,5415722546,619120992,688 MEMORIAL BLVD,NEWPORT,RI,91748,USA
CARVEL,HERRMAN,8708662825,625033204,2250 PINNACLE CT,HOLLISTER,CA,92557,USA
REGINALD,MIDDLETON,3053937139,619260944,82 GOLDEN GATE CIR,NAPA,CA,92335,USA
KIMBERLY,,URIOSTEGUI,2294123003,561519716,2050 MCKEE RD APT 127,SAN JOSE,CA,92583,USA  
